Movie ID,Title,Release Date,Genre,Vote Average,Vote Count,Overview,Language,Budget,Revenue,Poster Path,Popularity,Adult,Production Companies
1202565,No salgas,2023-11-24,Horror,8.8,4,"Struck by the tragic death of his father, Milagros, a young girl who studies drama, goes on a trip with her friends and her boyfriend, Juan Pablo, in search of calm and fun. Everything goes well until a group of masked strangers shows up.",es,0,0,https://image.tmdb.org/t/p/w500/53EMwPsZkuKSRzZa2GESTa6ZKV4.jpg,254.875,False,Stan Productions
346698,Barbie,2023-07-19,Comedy,6.995,9371,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",en,145000000,1445638421,https://image.tmdb.org/t/p/w500/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,262.646,False,"LuckyChap Entertainment, Heyday Films, NB/GG Pictures, Mattel, Warner Bros. Pictures"
346698,Barbie,2023-07-19,Adventure,6.995,9371,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",en,145000000,1445638421,https://image.tmdb.org/t/p/w500/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,262.646,False,"LuckyChap Entertainment, Heyday Films, NB/GG Pictures, Mattel, Warner Bros. Pictures"
298618,The Flash,2023-06-13,Adventure,6.683,4337,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",en,220000000,271333313,https://image.tmdb.org/t/p/w500/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg,205.554,False,"Warner Bros. Pictures, Double Dream, The Disco Factory, DC Films"
298618,The Flash,2023-06-13,Action,6.683,4337,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",en,220000000,271333313,https://image.tmdb.org/t/p/w500/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg,205.554,False,"Warner Bros. Pictures, Double Dream, The Disco Factory, DC Films"
298618,The Flash,2023-06-13,Science Fiction,6.683,4337,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",en,220000000,271333313,https://image.tmdb.org/t/p/w500/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg,205.554,False,"Warner Bros. Pictures, Double Dream, The Disco Factory, DC Films"
1190586,Leggings Mania,2023-07-13,Drama,5.0,1,"Jeong-hee was living with a man due to a de facto marriage. One day, her daughter, Dam-hoi, returned from her study abroad. Dam-hoi always wears leggings. The soon-to-be stepdad, Byeong-min, who is usually a fan of leggings, pays attention to her daughter's clothes. Jeong-hee noticed it, so she also started wearing leggings to distract her young prospective husband.",ko,0,0,https://image.tmdb.org/t/p/w500/wjxDVxLXM3fOSl3wm2WujNVNzs6.jpg,223.97,False,
1190586,Leggings Mania,2023-07-13,Romance,5.0,1,"Jeong-hee was living with a man due to a de facto marriage. One day, her daughter, Dam-hoi, returned from her study abroad. Dam-hoi always wears leggings. The soon-to-be stepdad, Byeong-min, who is usually a fan of leggings, pays attention to her daughter's clothes. Jeong-hee noticed it, so she also started wearing leggings to distract her young prospective husband.",ko,0,0,https://image.tmdb.org/t/p/w500/wjxDVxLXM3fOSl3wm2WujNVNzs6.jpg,223.97,False,
940551,Migration,2023-12-06,Animation,7.42,1882,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",en,72000000,298776052,https://image.tmdb.org/t/p/w500/apQL85BMRgkBWQq6pBXKOLfCyaV.jpg,204.636,False,"Universal Pictures, Illumination"
940551,Migration,2023-12-06,Action,7.42,1882,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",en,72000000,298776052,https://image.tmdb.org/t/p/w500/apQL85BMRgkBWQq6pBXKOLfCyaV.jpg,204.636,False,"Universal Pictures, Illumination"
940551,Migration,2023-12-06,Adventure,7.42,1882,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",en,72000000,298776052,https://image.tmdb.org/t/p/w500/apQL85BMRgkBWQq6pBXKOLfCyaV.jpg,204.636,False,"Universal Pictures, Illumination"
940551,Migration,2023-12-06,Comedy,7.42,1882,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",en,72000000,298776052,https://image.tmdb.org/t/p/w500/apQL85BMRgkBWQq6pBXKOLfCyaV.jpg,204.636,False,"Universal Pictures, Illumination"
940551,Migration,2023-12-06,Family,7.42,1882,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",en,72000000,298776052,https://image.tmdb.org/t/p/w500/apQL85BMRgkBWQq6pBXKOLfCyaV.jpg,204.636,False,"Universal Pictures, Illumination"
569094,Spider-Man: Across the Spider-Verse,2023-05-31,Animation,8.354,7170,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",en,100000000,690897910,https://image.tmdb.org/t/p/w500/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,201.285,False,"Columbia Pictures, Sony Pictures Animation, Lord Miller, Pascal Pictures, Arad Productions, Marvel Entertainment"
569094,Spider-Man: Across the Spider-Verse,2023-05-31,Action,8.354,7170,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",en,100000000,690897910,https://image.tmdb.org/t/p/w500/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,201.285,False,"Columbia Pictures, Sony Pictures Animation, Lord Miller, Pascal Pictures, Arad Productions, Marvel Entertainment"
569094,Spider-Man: Across the Spider-Verse,2023-05-31,Adventure,8.354,7170,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",en,100000000,690897910,https://image.tmdb.org/t/p/w500/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,201.285,False,"Columbia Pictures, Sony Pictures Animation, Lord Miller, Pascal Pictures, Arad Productions, Marvel Entertainment"
569094,Spider-Man: Across the Spider-Verse,2023-05-31,Science Fiction,8.354,7170,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",en,100000000,690897910,https://image.tmdb.org/t/p/w500/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,201.285,False,"Columbia Pictures, Sony Pictures Animation, Lord Miller, Pascal Pictures, Arad Productions, Marvel Entertainment"
1231813,Sister Swapping,2023-12-19,Romance,4.5,2,"Sisters Ji-soo and Ji-yeong decided to sell their used underwear due to financial difficulties. Perverted men offer to buy them at a higher price by asking these two sisters for shots of them wearing the underwear. Other men offer to pay even higher prices by demanding sex out of greater desire. As the sisters earn more money than expected, their service becomes more and more popular.",ko,0,0,https://image.tmdb.org/t/p/w500/lqjkmFmV62JEUGKK7E1UwX7PDDT.jpg,190.922,False,
1231813,Sister Swapping,2023-12-19,Drama,4.5,2,"Sisters Ji-soo and Ji-yeong decided to sell their used underwear due to financial difficulties. Perverted men offer to buy them at a higher price by asking these two sisters for shots of them wearing the underwear. Other men offer to pay even higher prices by demanding sex out of greater desire. As the sisters earn more money than expected, their service becomes more and more popular.",ko,0,0,https://image.tmdb.org/t/p/w500/lqjkmFmV62JEUGKK7E1UwX7PDDT.jpg,190.922,False,
603692,John Wick: Chapter 4,2023-03-22,Action,7.724,6709,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",en,90000000,440157245,https://image.tmdb.org/t/p/w500/uzHPb0rITwa44KkhX5Z27cXwmL1.jpg,187.345,False,"Thunder Road, 87Eleven, Studio Babelsberg, Lionsgate"
603692,John Wick: Chapter 4,2023-03-22,Thriller,7.724,6709,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",en,90000000,440157245,https://image.tmdb.org/t/p/w500/uzHPb0rITwa44KkhX5Z27cXwmL1.jpg,187.345,False,"Thunder Road, 87Eleven, Studio Babelsberg, Lionsgate"
603692,John Wick: Chapter 4,2023-03-22,Crime,7.724,6709,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",en,90000000,440157245,https://image.tmdb.org/t/p/w500/uzHPb0rITwa44KkhX5Z27cXwmL1.jpg,187.345,False,"Thunder Road, 87Eleven, Studio Babelsberg, Lionsgate"
502356,The Super Mario Bros. Movie,2023-04-05,Animation,7.639,9323,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",en,100000000,1362000000,https://image.tmdb.org/t/p/w500/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,183.185,False,"Universal Pictures, Illumination, Nintendo"
